name,url,description,stars,forks,language,created_at,last_update
"run-llama/llama_index", "https://github.com/run-llama/llama_index", "A data framework for your LLM applications.", 75321, 8456, "Python", "2025-01-15T10:00:00Z", "2025-09-18T14:30:00Z"
"microsoft/autogen", "https://github.com/microsoft/autogen", "Enable next-gen LLM applications using multi-agent conversation framework.", 68912, 7123, "Python", "2025-02-01T11:20:00Z", "2025-09-17T18:00:00Z"
"facebookresearch/llama", "https://github.com/facebookresearch/llama", "Inference code for LLaMA models", 65432, 9876, "Python", "2025-02-10T20:00:00Z", "2025-09-15T12:00:00Z"
"jmorganca/ollama", "https://github.com/jmorganca/ollama", "Get up and running with Llama 2, Mistral, and other large language models locally.", 62109, 5432, "Go", "2025-03-05T15:00:00Z", "2025-09-18T10:00:00Z"
"huggingface/transformers", "https://github.com/huggingface/transformers", "State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.", 125432, 24876, "Python", "2025-01-20T09:00:00Z", "2025-09-18T11:45:00Z"
"AUTOMATIC1111/stable-diffusion-webui", "https://github.com/AUTOMATIC1111/stable-diffusion-webui", "Stable Diffusion web UI", 119876, 23456, "Python", "2025-03-12T18:30:00Z", "2025-09-16T22:10:00Z"
"langchain-ai/langchain", "https://github.com/langchain-ai/langchain", "Building applications with LLMs through composability", 85432, 12345, "Python", "2025-01-28T14:00:00Z", "2025-09-18T09:15:00Z"
"openai/whisper", "https://github.com/openai/whisper", "Robust Speech Recognition via Large-Scale Weak Supervision", 63210, 6789, "Python", "2025-04-01T12:00:00Z", "2025-09-14T16:00:00Z"
"ggerganov/llama.cpp", "https://github.com/ggerganov/llama.cpp", "Port of Facebook's LLaMA model in C++", 59876, 8765, "C++", "2025-03-20T22:00:00Z", "2025-09-18T05:30:00Z"
"modelscope/facechain", "https://github.com/modelscope/facechain", "A framework for generating personal portraits with deep learning.", 55432, 4321, "Python", "2025-05-10T10:10:00Z", "2025-09-12T11:00:00Z"
"OpenBMB/AgentVerse", "https://github.com/OpenBMB/AgentVerse", "A flexible framework that simplifies the process of building custom multi-agent environments for LLMs.", 48765, 3456, "Python", "2025-06-01T08:00:00Z", "2025-09-10T14:20:00Z"
"dortania/OpenCore-Legacy-Patcher", "https://github.com/dortania/OpenCore-Legacy-Patcher", "Experience macOS just like before", 45678, 5678, "Python", "2025-02-18T19:00:00Z", "2025-09-18T13:00:00Z"
"lllyasviel/Fooocus", "https://github.com/lllyasviel/Fooocus", "Focus on prompting and generating", 43210, 2109, "Python", "2025-07-15T16:00:00Z", "2025-09-17T20:00:00Z"
"TheAlgorithms/Python", "https://github.com/TheAlgorithms/Python", "All Algorithms implemented in Python", 185432, 45678, "Python", "2025-01-10T05:00:00Z", "2025-09-18T15:00:00Z"
"Lissy93/web-check", "https://github.com/Lissy93/web-check", "All-in-one OSINT tool for analysing any website", 39876, 1234, "Vue", "2025-08-01T11:00:00Z", "2025-09-16T10:00:00Z"
"s0md3v/roop", "https://github.com/s0md3v/roop", "one-click deepfake (face swap)", 37654, 5432, "Python", "2025-04-22T21:00:00Z", "2025-09-09T08:00:00Z"
"daveshap/Auto-GPT-WorkSpace", "https://github.com/daveshap/Auto-GPT-WorkSpace", "A workspace for developing agents with Auto-GPT", 35432, 4321, "Python", "2025-05-15T13:00:00Z", "2025-08-30T19:00:00Z"
"InternLM/InternLM", "https://github.com/InternLM/InternLM", "A comprehensive framework for pre-training,
