title,description,url,source,published_at
"Seamless Travel (facial recognition, no stop)","GDRFA’s Seamless Travel project lets travellers pass borders using AI facial recognition without stopping, showcased for GITEX 2024.",https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
Pre-Registration Service (biometrics before arrival),Travellers can pre-register biometric data before arriving in Dubai to speed airport procedures.,https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
Esnad Digital Services Platform (staff enablement),An internal digital services platform to support employees and improve service delivery.,https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
AI-Powered Digital Assistant (customer support),A 24/7 digital assistant providing immediate support across GDRFA’s digital channels.,https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
Customer Sentiment Analysis System (facial & voice AI),System uses AI on facial expressions and voice to measure customer satisfaction in real time.,https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
Mobile Dock (portable biometrics),A tablet/mobile dock that simplifies on-the-go biometric registration for travellers.,https://gdrfad.gov.ae/en/node/14376,GDRFA Dubai,2024-10-10T00:00:00Z
Cybersecurity Hackathon (GITEX 2024),GDRFA organised a CTF-style hackathon at GITEX to build student skills in cybersecurity.,https://gdrfad.gov.ae/en/node/14375,GDRFA Dubai,2024-10-14T00:00:00Z
Red Carpet: passport-free departure corridor at DXB,DXB’s ‘Red Carpet’ smart corridor lets passengers complete departure in seconds — no passport or boarding pass.,https://gulfnews.com/business/aviation/dubai-airport-launches-red-carpet-worlds-first-passport-free-departure-corridor-1.500256973,GDRFA Dubai,2025-09-04T12:35:00Z
Based Deals as Clients Demand Results – Outlook Business,"Generative artificial intelligence (GenAI) is accelerating demand for outcome-based deals rather than input-based ones. Such deals, which usually emerge during economic downturns, now seem to be becoming the new normal for the industry",https://www.outlookbusiness.com/in-depth/ai-pushes-it-services-to-outcome-based-deals-as-clients-demand-results,Outlook Business,2025-09-17T13:01:17Z
AI vs Machine Learning vs Deep Learning: Uncover Key Differences,"Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) are often confused but represent different levels of technology. AI is the broad field, ML is a subset that learns from data, and DL is a specialized form of ML using neural networks.",https://www.newsx.com/education/ai-vs-machine-learning-vs-deep-learning-uncover-key-differences-72145/,NewsX,2025-09-17T08:30:36Z
Machine learning unravels quantum atomic vibrations in materials,"Caltech scientists have developed an artificial intelligence (AI)–based method that dramatically speeds up calculations of the quantum interactions that take place in materials. In new work, the group focuses on interactions among atomic vibrations, or phonons—interactions that govern a wide range of material properties, including heat transport, thermal expansion, and phase transitions. The new machine learning approach could be extended to compute all quantum interactions, potentially enabling encyclopedic knowledge about how particles and excitations behave in materials.",https://phys.org/news/2025-09-machine-unravels-quantum-atomic-vibrations.html,Phys.org,2025-09-16T19:16:03Z
How AI is undermining learning and teaching in universities,Letter: Prof Leo McCann and Prof Simon Sweeney say student misuse of generative artificial intelligence is widespread and we must be sceptical of its usefulness,https://www.theguardian.com/technology/2025/sep/16/how-ai-is-undermining-learning-and-teaching-in-universities,The Guardian,2025-09-16T16:22:48Z
