id,title,description,tags,impact,maturity,websiteUrl,isFeatured
tech-1,التعلم الفيدرالي,"نهج لامركزي لتدريب نماذج الذكاء الاصطناعي على أجهزة مثل الهواتف دون مغادرة البيانات لها، مما يعزز الخصوصية.","Privacy;Decentralized;ML;AI Ethics","يعزز خصوصية البيانات وأمانها في تدريب نماذج الذكاء الاصطناعي.",متنامية,#,false
tech-2,النماذج التوليدية,"الذكاء الاصطناعي الذي يمكنه إنشاء محتوى جديد وأصلي، مثل الصور والنصوص والموسيقى والتعليمات البرمجية، ويدعم التطبيقات من الفن إلى العلوم.","Creativity;Content Generation;GANs;LLMs;Generative AI","إحداث ثورة في إنشاء المحتوى وتوليف البيانات.",متنامية,#,false
tech-3,الحوسبة العصبية الشكلية,"أجهزة ورقائق تحاكي الدماغ البشري، بهدف بناء معالجات أكثر كفاءة وقوة واستهلاكًا منخفضًا للطاقة للذكاء الاصطناعي.","Hardware;Brain-Inspired;Low-Power AI","تمكين معالجة الذكاء الاصطناعي فائقة الكفاءة في الوقت الفعلي.",ناشئة,#,false
tech-4,الذكاء الاصطناعي في اكتشاف الأدوية,"استخدام تعلم الآلة لتحليل البيانات البيولوجية، وتحديد المرشحين للأدوية، وتسريع تطوير أدوية جديدة.","Healthcare;Biotech;Genomics;ML;Healthcare AI","تقليل وقت وتكلفة تطوير أدوية جديدة بشكل كبير.",متنامية,#,false
tech-5,الذكاء الاصطناعي القابل للتفسير (XAI),"مجموعة من التقنيات التي تجعل قرارات نماذج الذكاء الاصطناعي مفهومة للبشر، مما يضمن الشفافية والثقة.","Ethics;Transparency;Trustworthy AI;AI Ethics","بناء الثقة والمساءلة في أنظمة الذكاء الاصطناعي الحيوية.",متنامية,#,false
tech-6,التعلم المعزز,"نوع من تعلم الآلة حيث يتعلم وكيل الذكاء الاصطناعي اتخاذ القرارات عن طريق أداء إجراءات لتحقيق هدف، مسترشدًا بالمكافآت.","RL;LLMs;Alignment;Fine-tuning;Machine Learning","تحسين سلامة نماذج اللغة وفائدتها بشكل كبير.",متنامية,#,false
tech-7,الأنظمة المستقلة,"آلات أو برامج يمكنها أداء المهام دون تدخل بشري مباشر، بما في ذلك السيارات ذاتية القيادة وطائرات التوصيل بدون طيار.","Robotics;Self-Driving;Drones;Automation","تحويل الصناعات من النقل إلى الخدمات اللوجستية.",متنامية,#,false
tech-8,الذكاء الاصطناعي لتغير المناخ,"تطبيق الذكاء الاصطناعي لمعالجة التحديات البيئية، من إنشاء نماذج مناخية أفضل إلى تحسين شبكات الطاقة.","Sustainability;Environment;Clean Tech","توفير أدوات حيوية لمراقبة تغير المناخ والتخفيف من حدته.",متنامية,#,false
tech-9,تعلم الآلة الكمومي,"الاستفادة من الحوسبة الكمومية لحل مشاكل تعلم الآلة المعقدة التي يصعب على أجهزة الكمبيوتر الكلاسيكية حلها.","Quantum;QML;Future Tech;Machine Learning","إطلاق العنان لتسريعات أسية لمهام تعلم الآلة المحددة.",ناشئة,#,true
tech-10,التوائم الرقمية المدعومة بالذكاء الاصطناعي,"نماذج افتراضية للأشياء المادية تستخدم البيانات في الوقت الفعلي والذكاء الاصطناعي لمحاكاة الأداء والتنبؤ به وتحسينه.","Simulation;IoT;Manufacturing","تحسين الكفاءة والصيانة التنبؤية في الصناعة.",متنامية,#,false
tech-11,الذكاء الاصطناعي على الحافة,"تشغيل خوارزميات تعلم الآلة مباشرة على الأجهزة المحلية، مما يقلل من زمن الوصول ويحسن الخصوصية عن طريق تجنب السحابة.","IoT;Hardware;Low-Latency","تمكين تطبيقات الذكاء الاصطناعي في الوقت الفعلي على مليارات الأجهزة.",متنامية,#,false
tech-12,توليد البيانات الاصطناعية,"بيانات تم إنشاؤها بشكل مصطنع تستخدم لتدريب نماذج الذكاء الاصطناعي، مما يساعد على التغلب على ندرة البيانات وحماية الخصوصية.","Data Augmentation;Privacy;GANs;Generative AI","حل مشكلة عنق الزجاجة في البيانات لتطوير الذكاء الاصطناعي.",متنامية,#,false
tech-13,الذكاء الاصطناعي في الأمن السيبراني,"استخدام الذكاء الاصطناعي لأتمتة الكشف عن التهديدات وتحديد الحالات الشاذة والتنبؤ بالهجمات المحتملة قبل حدوثها.","Security;Threat Detection;Automation","تعزيز سرعة ودقة أنظمة الدفاع السيبراني.",ناضجة,#,false
tech-14,نماذج اللغة الكبيرة (LLMs),"شبكات عصبية ضخمة مدربة على بيانات نصية واسعة، مما يمكنها من فهم وتوليد لغة بشرية.","NLP;Transformers;Foundation Models;Generative AI","تشغيل جيل جديد من تطبيقات الذكاء الاصطناعي القائمة على اللغة.",متنامية,#,false
tech-15,الذكاء الاصطناعي متعدد الوسائط,"نماذج يمكنها معالجة وفهم المعلومات من أنواع بيانات متعددة في وقت واحد، مثل النصوص والصور والصوت.","Vision-Language;Sensory Fusion;NLP;Generative AI","إنشاء أنظمة ذكاء اصطناعي أكثر قدرة وإدراكًا للسياق.",متنامية,#,false
tech-16,الذكاء الاصطناعي السببي,"تجاوز الارتباط لفهم السبب والنتيجة، مما يمكّن النماذج من التفكير في التدخلات.","Decision Intelligence;Causality;Reasoning","تحسين عملية اتخاذ القرارات الاستراتيجية في الأعمال والعلوم.",ناشئة,#,false
